Refrigerant,Adsorbent,adsorbent-subtype,g-12,g-21,alpha-12,Literature
water,IL,[EMIM][OAc],28938,-25691,0.10243,"Ro?mich, C., et al., Thermodynamic properties of binary mixtures of water and room-temperature ionic liquids: Vapor pressures, heat capacities, densities, and viscosities of water+ 1-ethyl-3-methylimidazolium acetate and water+ diethylmethylammonium methane sulfonate. Journal of chemical & engineering data, 2012. 57(8): p. 2258-2264."
water,IL,[DEMA][OMs],-1051.4,-5039.9,0.70862,"Ro?mich, C., et al., Thermodynamic properties of binary mixtures of water and room-temperature ionic liquids: Vapor pressures, heat capacities, densities, and viscosities of water+ 1-ethyl-3-methylimidazolium acetate and water+ diethylmethylammonium methane sulfonate. Journal of chemical & engineering data, 2012. 57(8): p. 2258-2264."
water,IL,[EMIM][(CF3SO2)2N],12900.7,-1457,0.28,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
water,IL,[BMIM][(CF3SO2)2N],19416.9,-348.6,0.3,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
Acetone,IL,[EMIM][(CF3SO2)2N],4608,-4917.4,0.47,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
Acetone,IL,[BMIM][(CF3SO2)2N],7788.2,-1002.9,0.6,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
2-propanol,IL,[EMIM][(CF3SO2)2N],4090,-5084.6,0.47,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
2-propanol,IL,[BMIM][(CF3SO2)2N],7013.6,-854,0.8,"Dker, M. and J. Gmehling, Measurement and prediction of vapor僕iquid equilibria of ternary systems containing ionic liquids. Fluid phase equilibria, 2005. 227(2): p. 255-266."
HFO1234ze(E),Lubricant,POE-RL68H,-3082.7,7567.5,0.5,"Bock, J., Vapor-liquid equilibria of a low GWP refrigerant, R-1234ze (E), mixed with a POE lubricant. 2015: University of Illinois at Urbana-Champaign."
HCFC12,Lubricant,naphthenic,-1105,4571,0.5,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HCFC12,Lubricant,paraffinic,-2059,6981,0.5,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HCFC22,Lubricant,POE-RL68H,-4709,-967,0.5,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HCFC22,Lubricant,POE-Castrol-SW-46,2818,-4620,0.5,"Fleming, J. and Y. Yan, The prediction of vapour僕iquid equilibrium behaviour of HFC blend撲il mixtures from commonly available data. International journal of refrigeration, 2003. 26(3): p. 266-274."
HFC134a,Lubricant,PAG,-4788,-359,0.5,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,POE,-2528,7421,0.5,"Grebner, J.J., The effects of oil on the thermodynamic properties of dichlorodifluoromethane (R-12) and tetrafluoroethane (R-134a). 1992, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,POE-RL68H,-2784,9498,0.5,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC134a,Lubricant,POE-Castrol-SW-46,3936,-1240,0.5,"Fleming, J. and Y. Yan, The prediction of vapour僕iquid equilibrium behaviour of HFC blend撲il mixtures from commonly available data. International journal of refrigeration, 2003. 26(3): p. 266-274."
HFC125,Lubricant,POE-RL68H,-3363,8481,0.5,"Martz, W.L. and A. Jacobi, Refrigerant-oil mixtures and local composition modeling. 1994, Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign."
HFC125,Lubricant,POE-RL68H,-3363,8481,0.5,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
HFC32,Lubricant,POE,-2852.1,20000,0.5,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
HFC32,HFC125,,237.5,-398.1,0.5,"Burton, C., A. Jacobi, and S. Mehendale, Vapor-liquid equilibrium for R-32 and R-410A mixed with a polyol ester: non-ideality and local composition modeling. International Journal of Refrigeration, 1999. 22(6): p. 458-471."
