refrigerant;sorbent;sorbent-subtype;type;prop-diameter-crystal;prop-diameter-pore;prop-diameter-pellet;prop-diameter-extrudate;prop-length-extrudate;prop-area-surface;prop-volume-pore;props-porosity-pellet;props-density-bulk;props-density-pellet;props-density-solid;bo;c;m;n0;q_star_R;r;w_s;validity-pressure-min;validity-pressure-max;validity-temperature-min;validity-temperature-max;validity-loading-min;validity-loading-max;error-are;error-rmse;literature
-;-;-;-;in mm;in mm;in mm;in mm;in mm;in m2/g;in cm3/g;in -;in kg/m3;in kg/m3;in kg/m3; in 1/Pa; in K; in -; in -; in K; in -; in kg/kg;in Pa;in Pa;in K;in K;in kg/kg;in kg/kg;in %;in kg/kg;-
co2;zeolite;5a;ads;;;;;;;;;;;;6.76E-11;-2.00E+01;1.00E+00;2.70E-01;5.63E+03;-1.00E+00;6.43E-01;5.3;108000;228.15;448.15;0.0044009;0.21388374;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;zeolite;13x;ads;;;;;;;;;;;;4.88E-07;3.81E+01;1.00E+00;7.49E-02;2.99E+03;-1.00E+00;5.87E-01;98.2;42500;228.15;448.15;0.007085449;0.21608419;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;silicaGel;;ads;;;;;;;;;;;;5.16E-10;2.39E+02;1.00E+00;-3.05E-01;2.33E+03;-1.00E+00;6.54E-01;67.2;97900;283.15;328.15;5.28E-05;0.05633152;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
co2;carbon;acf-a-20;ads;;0.00000216;;;;2000;1.03;;;;;2.55E-10;0.00E+00;1.00E+00;6.96E-01;2.31E+03;-1.00E+00;1.56E+00;60000;9488000;263.15;343.15;0.118;0.992;;0.034;Saha, B.B., et al., Carbon dioxide adsorption isotherms on activated carbons. Journal of Chemical & Engineering Data, 2011. 56(5): p. 1974-1981.
co2;carbon;maxsorb-iii;ads;;0.000002;;;;3150;1.07;;;;;1.17E-10;0.00E+00;1.00E+00;6.64E-01;2.45E+03;-1.00E+00;3.06E+00;97000;10164000;263.15;343.15;0.121;1.719;;0.0377;Saha, B.B., et al., Carbon dioxide adsorption isotherms on activated carbons. Journal of Chemical & Engineering Data, 2011. 56(5): p. 1974-1981.
water;zeolite;5a;ads;;;;;;;;;;;;2.41E-10;-4.20E+00;1.00E+00;3.97E-01;6.85E+03;-1.00E+00;2.72E-01;14.7;1660;273.15;373.15;0.047200034;0.248610864;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;zeolite;13x;ads;;;;;;;;;;;;4.71E-13;-5.11E+01;1.00E+00;3.55E-01;9.96E+03;-1.00E+00;4.23E-01;10.5;1830;273.15;373.15;0.04828095;0.257618504;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;silicaGel;;ads;;;;;;;;;;;;2.79E-08;2.21E+01;1.00E+00;-1.19E-03;1.09E+03;-1.00E+00;1.14E+05;13.9;5250;273.15;348.15;0.001927635;0.34229032;;;Wang, Y. and M.D. LeVan, Adsorption equilibrium of carbon dioxide and water vapor on zeolites 5A and 13X and silica gel: pure components. Journal of Chemical & Engineering Data, 2009. 54(10): p. 2839-2844.
water;silicaGel;fuji davison type rd;ads;;;;;;;;;;;;1.62E-12;0.00E+00;1.00E+00;1.20E+01;5.84E+03;-1.00E+00;4.50E-01;;;;;;;;;Chua H.T., et al., Transient modeling of a two-bed silica gel-water adsorption chiller. International Journal of Heat and Mass Transfer, 2004(47): p. 659-69.
propylene;zeolite;13x;ads;0.002;;0.79;1.5-1.9;04. Jul;;;0.39;630-680;1358;2234;3.50E-10;0.00E+00;1.00E+00;6.08E-01;5.10E+03;-1.00E+00;1.13E-01;207.5;103413.5;303;473;0.002668276;0.114398823;;;Da Silva, F.A. and A.E. Rodrigues, Adsorption equilibria and kinetics for propylene and propane over 13X and 4A zeolite pellets. Industrial & engineering chemistry research, 1999. 38(5): p. 2051-2057.
propylene;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;2.50E-10;0.00E+00;1.00E+00;6.58E-01;5.10E+03;-1.00E+00;1.09E-01;269.2;151780.1;333;393;0.004055645;0.10404889;2.515;;Lamia, N., et al., Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. Separation Science and Technology, 2007. 42(12): p. 2539-2566.
propylene;zeolite;4a;ads;0.0034;;1.6;3.2;08. Dez;;;0.34;>700;1700;2590;3.50E-10;0.00E+00;1.00E+00;5.80E-01;4.30E+03;-1.00E+00;1.13E-01;207.5;102906.9;303;473;0.00287068;0.114398823;;;Da Silva, F.A. and A.E. Rodrigues, Adsorption equilibria and kinetics for propylene and propane over 13X and 4A zeolite pellets. Industrial & engineering chemistry research, 1999. 38(5): p. 2051-2057.
propylene;zeolite;5a crystal;ads;0.001;0.00005;1.65-2.5;;;;;0.35;;1130;1740;1.33E-05;0.00E+00;2.50E+00;4.00E-01;-1.68E+03;1.00E+00;1.69E-01;2440.3;99132.3;323;423;0.027199923;0.149766003;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propylene;zeolite;5a pellets;ads;0.0011;0.00005;1.65-2.5;;;;;0.35;;1130;1740;2.02E-06;0.00E+00;2.78E+00;3.60E-01;-1.61E+03;1.00E+00;1.23E-01;2025.1;99973.3;323;423;0.021620991;0.104631694;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propylene;carbon;molecularsieve;ads;;0.0003;1.1;;02.03.2005;;0.31;0.315;;900;;1.32E-05;0.00E+00;3.08E+00;3.25E-01;-1.73E+03;1.00E+00;8.11E-02;540;282903;343;423;0.012668106;0.062296109;;;Grande, C.A., et al., Adsorption of propane and propylene onto carbon molecular sieve. Carbon, 2003. 41(13): p. 2533-2545.
propane;zeolite;13x;ads;0.002;;0.79;1.5-1.9;04. Jul;;;0.39;630-680;1358;2234;7.40E-09;0.00E+00;1.00E+00;6.66E-01;3.59E+03;-1.00E+00;8.95E-02;444.1;104549.7;303;473;0.001047304;0.095440019;;;Da Silva, F.A. and A.E. Rodrigues, Adsorption equilibria and kinetics for propylene and propane over 13X and 4A zeolite pellets. Industrial & engineering chemistry research, 1999. 38(5): p. 2051-2057.
propane;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;2.50E-10;0.00E+00;1.00E+00;8.92E-01;4.44E+03;-1.00E+00;9.70E-02;367.8;154298.9;333;393;0.002644938;0.096698106;6.205;;Lamia, N., et al., Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. Separation Science and Technology, 2007. 42(12): p. 2539-2566.
propane;zeolite;4a;ads;0.0034;;1.6;3.2;08. Dez;;;0.34;>700;1700;2590;6.00E-07;0.00E+00;1.00E+00;1.00E+00;0.00E+00;-1.00E+00;8.95E-02;291.1;107707.2;303;473;0.0073;0.012964;;;Da Silva, F.A. and A.E. Rodrigues, Adsorption equilibria and kinetics for propylene and propane over 13X and 4A zeolite pellets. Industrial & engineering chemistry research, 1999. 38(5): p. 2051-2057.
propane;zeolite;5a crystal;ads;0.001;0.00005;1.65-2.5;;;;;0.35;;1130;1740;4.30E-06;0.00E+00;2.17E+00;4.60E-01;-1.83E+03;1.00E+00;1.61E-01;2475.3;99591.1;323;423;0.012344073;0.137030546;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propane;zeolite;5a pellets;ads;0.0011;0.00005;1.65-2.5;;;;;0.35;;1130;1740;4.94E-07;0.00E+00;1.72E+00;5.80E-01;-2.39E+03;1.00E+00;1.15E-01;2344.7;99897.9;323;423;0.005555781;0.102417046;;;Grande, C.A., C. Gigola, and A.E. Rodrigues, Adsorption of propane and propylene in pellets and crystals of 5A zeolite. Industrial & engineering chemistry research, 2002. 41(1): p. 85-92.
propane;carbon;molecularsieve;ads;;0.0003;1.1;;02.03.2005;;0.31;0.315;;900;;1.81E-05;0.00E+00;2.81E+00;3.56E-01;-1.38E+03;1.00E+00;7.75E-02;2205;291114;343;423;0.011563997;0.053701768;;;Grande, C.A., et al., Adsorption of propane and propylene onto carbon molecular sieve. Carbon, 2003. 41(13): p. 2533-2545.
1-butene;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;2.50E-10;0.00E+00;1.00E+00;4.52E-01;6.54E+03;-1.00E+00;1.18E-01;0;110050;333;393;0;0.1155866;2;;Lamia, N., et al., Equilibrium and Fixed Bed Adsorption of 1-Butene, Propylene and Propane Over 13X Zeolite Pellets. Separation Science and Technology, 2008. 43(5): p. 1124-1156.
r-1234ze(E);carbon;maxsorb-iii;ads;;;;;;;;;;;;1.30E-05;0.00E+00;1.00E+00;2.95E-01;3.86E+03;-1.00E+00;3.74E+00;;;;;;;;;Jribi, S., et al., Study on activated carbon/HFO-1234ze (E) based adsorption cooling cycle. Applied Thermal Engineering, 2013. 50(2): p. 1570-1575.
r-134a;carbon;maxsorb-iii;ads;;;;;;;;;;;;3.51E-05;0.00E+00;1.00E+00;3.21E-01;3.03E+03;-1.00E+00;4.32E+00;;;;;;;;;Jribi, S., et al., Study on activated carbon/HFO-1234ze (E) based adsorption cooling cycle. Applied Thermal Engineering, 2013. 50(2): p. 1570-1575.
isobutane;zeolite;13x;ads;0.001;0.0000005;;0.8;;;;0.395;;1357;;2.50E-10;0.00E+00;1.00E+00;8.48E-01;5.00E+03;-1.00E+00;1.03E-01;171.9;152632;333;393;0.005888137;0.104210322;2.1175;;Lamia, N., et al., Propane/Propylene Separation by Simulated Moving Bed I. Adsorption of Propane, Propylene and Isobutane in Pellets of 13X Zeolite. Separation Science and Technology, 2007. 42(12): p. 2539-2566.
