refrigerant;sorbent;sorbent-subtype;type;measurements-procedure;measurements-type;pressures;temperatures;loadings;uncertainty-data-source;uncertainty-pressure-abs;uncertainty-pressure-rel;uncertainty-temperature-abs;uncertainty-temperature-rel;uncertainty-loading-abs;uncertainty-loading-rel;comment;literature
-;-;-;-;-;-;in Pa;in K;in kg/kg or mol/mol;-;in Pa;in %;in K;in %;in kg/kg or mol/mol;in %;-;-
R-134a;lubricant;BAB15;abs;;isotherms;329000,432000,599000,187000,974000,1005000,412000,613000,668000,1060000,1391000,1408000,1666000,574000,612000,1036000,1215000,1401000,1702000,1770000,2046000,2252000,2604000;313.15,313.15,313.15,313.15,313.15,313.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15;0.123,0.166,0.222,0.334,0.45,0.46,0.118,0.186,0.202,0.311,0.414,0.421,0.54,0.135,0.137,0.226,0.251,0.283,0.355,0.364,0.44,0.47,0.578;table;;;0.2;;;;;"Takigawa, Katsuya; Sandler, Stanley I.; Yokozeki, Akimichi (2002): Solubility and viscosity of refrigerant/lubricant mixtures. Hydrofluorocarbon/alkylbenzene systems. In: International Journal of Refrigeration 25 (8), S. 1014–1024. DOI: 10.1016/S0140-7007(02)00025-7."
R-134a;lubricant;BAB32;abs;;isotherms;418000,598000,674000,818000,836000,929000,1011000,1015000,518000,608000,729000,901000,949000,1151000,1270000,1301000,1398000,1473000,1672000,1673000,624000,708000,991000,1244000,1315000,1718000,1818000,2190000,2177000,2383000,2611000;313.15,313.15,313.15,313.15,313.15,313.15,313.15,313.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,333.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15,353.15;0.157,0.211,0.246,0.322,0.399,0.369,0.433,0.434,0.146,0.161,0.194,0.248,0.259,0.311,0.34,0.352,0.392,0.397,0.487,0.493,0.13,0.161,0.212,0.246,0.256,0.335,0.356,0.426,0.429,0.472,0.544;table;;;0.2;;;;;"Takigawa, Katsuya; Sandler, Stanley I.; Yokozeki, Akimichi (2002): Solubility and viscosity of refrigerant/lubricant mixtures. Hydrofluorocarbon/alkylbenzene systems. In: International Journal of Refrigeration 25 (8), S. 1014–1024. DOI: 10.1016/S0140-7007(02)00025-7."
R-134a;lubricant;POE32;abs;;isotherms;9.68E+04,1.36E+05,1.66E+05,1.86E+05,1.92E+05,1.99E+05,1.93E+05,1.99E+05,2.01E+05,2.02E+05,1.97E+05,2.69E+05,3.28E+05,3.72E+05,3.99E+05,4.05E+05,4.08E+05,4.07E+05,4.18E+05,4.18E+05,3.42E+05,4.80E+05,5.81E+05,6.62E+05,7.17E+05,7.41E+05,7.50E+05,7.53E+05,7.67E+05,7.77E+05,5.22E+05,7.61E+05,9.31E+05,1.08E+06,1.20E+06,1.26E+06,1.27E+06,1.29E+06,1.30E+06,1.32E+06,1.29E+06,1.30E+06,1.32E+06;263.15,263.15,263.15,263.15,263.15,263.15,263.15,263.15,263.15,263.15,283.15,283.15,283.15,283.15,283.15,283.15,283.15,283.15,283.15,283.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,303.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15,323.15;0.30434,0.49078,0.61295,0.70987,0.79802,0.86431,0.90299,0.95279,0.97197,0.99619,0.29608,0.48492,0.60579,0.70712,0.79463,0.86226,0.89961,0.95041,0.97196,0.99484,0.28116,0.47111,0.59406,0.69948,0.78939,0.85671,0.89811,0.94925,0.97282,0.99437,0.26562,0.45606,0.58113,0.68968,0.78069,0.85412,0.89451,0.94971,0.98202,0.99653,0.94971,0.98202,0.99653;figure;;;;;;;;Yokozeki, A. (2001): Solubility of Refrigerant in Various Lubricants. In: International Journal of Thermophysics 22 (4), S. 1057–1071. DOI: 10.1023/A:1010695705260.
R-134a;lubricant;HC16;abs;;isotherms;1.48E+05,1.71E+05,2.17E+05,2.70E+05,3.10E+05,3.29E+05,3.68E+05,4.45E+05,4.84E+05,5.23E+05,5.57E+05,6.35E+05,7.70E+05,2.49E+05,2.99E+05,3.74E+05,4.43E+05,5.24E+05,5.83E+05,6.18E+05,6.66E+05,7.88E+05,9.92E+05,1.03E+06,1.32E+06,2.79E+05,3.42E+05,4.23E+05,4.90E+05,5.77E+05,6.44E+05,7.07E+05,7.47E+05,8.93E+05,1.14E+06,1.18E+06,1.57E+06,3.01E+05,3.68E+05,4.57E+05,5.40E+05,6.17E+05,6.97E+05,7.74E+05,8.25E+05,9.85E+05,1.30E+06,1.71E+06;303,303,303,303,303,303,303,303,303,303,303,303,303,323,323,323,323,323,323,323,323,323,323,323,323,343,343,343,343,343,343,343,343,343,343,343,343,363,363,363,363,363,363,363,363,363,363,363;0.036938,0.042542,0.052223,0.064069,0.077442,0.079353,0.092982,0.115399,0.126607,0.133868,0.153609,0.175644,0.233086,0.044073,0.054645,0.067893,0.081649,0.098718,0.108653,0.117824,0.130179,0.153999,0.206731,0.221123,0.341102,0.040583,0.048447,0.061447,0.074446,0.086965,0.093706,0.106545,0.114409,0.139445,0.182777,0.19048,0.26302,0.035128,0.042511,0.054548,0.066746,0.077338,0.082476,0.096598,0.101574,0.127413,0.168501,0.219058;figure;;;;;;;;Yokozeki, A. (2001): Solubility of Refrigerant in Various Lubricants. In: International Journal of Thermophysics 22 (4), S. 1057–1071. DOI: 10.1023/A:1010695705260.
R-134a;lubricant;PAG;abs;;isotherms_p;268060,295800,296790,148310,323820,395360,409680,404000,145020,239220,444000,557840,568190,567830,310990,583230,743460,775030,768230,395370,756280,983940,1024130,1014990,481900,956720,1289850,1321740,1314580,608530,1233100,1625310,1693340,1687990,724620,1511730,2074520,2122510,1817560,2612510,2626660;273.15,273.15,273.15,283.15,283.15,283.15,283.15,283.15,293.15,293.15,293.15,293.15,293.15,293.15,303.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15,343.15,353.15,353.15,353.15;0.94136258,0.972288387,0.989578383,0.72958688,0.881882041,0.940161264,0.971858467,0.989193619,0.568914039,0.727683594,0.880319138,0.940440765,0.970856468,0.989397547,0.719289552,0.879802519,0.940302323,0.969567704,0.98927373,0.717722149,0.875835917,0.939770392,0.967413106,0.989366088,0.708716343,0.872824021,0.938461913,0.965123147,0.988952088,0.696599183,0.869564772,0.936727873,0.960902542,0.988476354,0.679911316,0.859209435,0.937978838,0.988407821,0.859576221,0.935434753,0.988126923;figure;3.45E+02;;0.12;;;;;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;lubricant;POE;abs;;isotherms_p;57250,125240,189440,202900,204930,120080,203800,299380,297170,305450,160900,288630,387290,410240,424800,208030,379750,528630,564160,566100,261450,514820,723380,749500,785980,327450,649880,933790,985120,990110,405990,813250,1197650,1271010,1285340,468840,1001710,1540050,1626050,1649710,1221640,1920050,2043940,2051700;263.15,263.15,263.15,263.15,263.15,273.15,273.15,273.15,273.15,273.15,283.15,283.15,283.15,283.15,283.15,293.15,293.15,293.15,293.15,293.15,303.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15,343.15;0.412962281,0.657704187,0.838676273,0.947811206,0.981267978,0.40777924,0.650643555,0.837472949,0.946221887,0.98081973,0.409773103,0.645699163,0.839319913,0.945866624,0.980737872,0.404681433,0.640639595,0.838565524,0.944964593,0.98140053,0.39707243,0.636499064,0.837207278,0.943770975,0.980680722,0.379270764,0.634714231,0.83833567,0.941477767,0.981111219,0.373494619,0.626670323,0.835326387,0.9382962,0.980909562,0.359961535,0.623335853,0.830558843,0.93303607,0.97970374,0.608186592,0.832448624,0.925755203,0.980192859;figure;3.45E+02;;0.12;;;;;Grebner, J. J. (1992): The Effects of Oil on the Thermodynamic Properties of Dichlorodifluoromethane (R-12) and Tetrafluoroethane (R-134a). Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-13. Online verfügbar unter http://hdl.handle.net/2142/9702.
R-134a;lubricant;POE;abs;;isotherms_p;148320,201000,210140,201940,205130,288900,299920,297190,276580,402490,418990,427230,370030,536170,580190,577380,470770,706560,779850,756900,582570,908040,994160,995010,767520,1197430,1301900,1300900,934240,1495960,1649930,1665380,1862290,2047450,2093990;263.15,263.15,263.15,263.15,273.15,273.15,273.15,273.15,283.15,283.15,283.15,283.15,293.15,293.15,293.15,293.15,303.15,303.15,303.15,303.15,313.15,313.15,313.15,313.15,323.15,323.15,323.15,323.15,333.15,333.15,333.15,333.15,343.15,343.15,343.15;0.595124198,0.79441551,0.88134448,0.958294356,0.590715052,0.795287696,0.880037406,0.957931077,0.587817127,0.7931383,0.879138112,0.957939561,0.582237588,0.794263094,0.877927474,0.958603981,0.581624598,0.790450627,0.877116452,0.95788915,0.570612766,0.789903637,0.876037958,0.957520691,0.574671202,0.789116051,0.874310839,0.956811992,0.567506614,0.789438128,0.872738092,0.956589751,0.787295645,0.86908937,0.955891767;figure;3.45E+02;;0.12;;;;;"Martz, W. L.; Jacobi, A. M. (1994): Refrigerant-Oil Mixtures and Local Composition Modeling. Hg. v. Air Conditioning and Refrigeration Center. College of Engineering. University of Illinois at Urbana-Champaign. Air Conditioning and Refrigeration Center TR-68. Online verfügbar unter http://hdl.handle.net/2142/10986."
R-134a;TriEGDME;;abs;;isotherms;276700,297800,319800,337100,353900,370800,373600,377300,379700,381500,383500,385300,387300,389200,391100,393100,394700,396100,397700,398600,400200,400800,402000,403700,404000,396300,422100,450800,473000,494400,517100,521900,526300,528400,531900,536000,538700,541000,544700,548500,551000,553800,557100,560500,562900,566900,570700,572100,433300,468200,503500,538000,571900,602900,632000,657200,680400,700800,716700,729300,740700,749000,757100,762600,765100,769200,770800,773300,705500,735100,765800,799100,834800,872800,914800,920100,925900,931500,936000,941600,946400,950800,954500,960200,964400,968500,972200,977000,981900,987200,993200,995800,998100,998400,999900,1002200,911200,948900,988300,1030800,1077700,1125600,1182800,1189900,1196600,1204000,1210900,1218200,1224800,1231700,1237300,1244000,1250500,1257800,1263400,1268600,1275700,1280600,1288000,1293400,1295700,1299100,1301800,1304900;282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,282.55,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,293.32,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,303.24,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,312.66,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82,322.82;0.7432,0.7814,0.8221,0.8552,0.8885,0.9234,0.9298,0.9363,0.9408,0.9454,0.9498,0.9541,0.9586,0.9624,0.9662,0.9702,0.9741,0.9781,0.9821,0.9858,0.9896,0.9934,0.9962,0.998,1,0.7465,0.7818,0.8208,0.8517,0.8823,0.9154,0.9218,0.9284,0.9328,0.9372,0.9417,0.9462,0.9508,0.9555,0.9601,0.9647,0.9694,0.9741,0.9789,0.9837,0.9934,0.9967,0.9984,0.6369,0.6738,0.7102,0.7461,0.7806,0.8133,0.844,0.8724,0.8977,0.9203,0.9381,0.9531,0.9654,0.9751,0.9827,0.9877,0.9913,0.9963,0.9975,1,0.7488,0.7726,0.7982,0.8259,0.8559,0.8888,0.9249,0.9296,0.9343,0.9391,0.9435,0.9478,0.9523,0.9562,0.9601,0.9641,0.9681,0.9722,0.9759,0.9796,0.9833,0.9871,0.9909,0.994,0.9966,0.9979,0.9992,1,0.7451,0.7688,0.7943,0.8221,0.8523,0.8856,0.9225,0.9273,0.9322,0.9372,0.9416,0.9461,0.9507,0.9547,0.9587,0.9628,0.967,0.9712,0.975,0.9789,0.9828,0.9867,0.9907,0.9938,0.9963,0.9981,0.9994,1;table;1.00E+02;;0.03;;;;;"Marchi, Paolo; Scalabrin, Giancarlo; Ihmels, E. Christian; Fischer, Kai; Gmehling, Jürgen (2006): Bubble pressure measurements for the (1,1,1,2-tetrafluoroethane+triethylene glycol dimethyl ether) system. In: The Journal of Chemical Thermodynamics 38 (11), S. 1247–1253. DOI: 10.1016/j.jct.2006.03.004."
R-134a;lubricant;PEC9;abs;;isotherms_p;103800,118600,167700,332600,416000,474300,605600,134800,151400,207100,450300,574600,643300,861600,163000,180600,238700,555800,716300,781100,1070000,186300,203500,262200,641700,831200,883000,1218300;303,303,303,303,303,303,303,323,323,323,323,323,323,323,343,343,343,343,343,343,343,363,363,363,363,363,363,363;0.1622,0.1843,0.2499,0.4146,0.4917,0.5399,0.648,0.137,0.1542,0.2031,0.3646,0.4395,0.4749,0.5864,0.1138,0.1269,0.1629,0.3143,0.3852,0.4067,0.5155,0.0949,0.106,0.1332,0.2696,0.3355,0.345,0.4482;table;;;;;;;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;lubricant;PEB6;abs;;isotherms_p;110600,114400,127500,261900,433300,448900,632000,140700,146400,161500,340100,570200,581700,840100,165700,174100,190900,407300,688700,691400,1012600;323,323,323,323,323,323,323,343,343,343,343,343,343,343,363,363,363,363,363,363,363;0.1282,0.1315,0.1466,0.2767,0.4036,0.4178,0.5349,0.1065,0.1105,0.1232,0.2382,0.3552,0.3652,0.479,0.0886,0.0923,0.1031,0.2034,0.3082,0.3139,0.4198;table;;;;;;;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;lubricant;PEB8;abs;;isotherms_p;90100,111000,214200,322400,538900,87300,118300,152100,300700,458000,795200,1204700,108000,145300,190300,384100,587100,1025700,126900,167500,224300,460700,699900;303,303,303,303,303,323,323,323,323,323,323,363,343,343,343,343,343,343,363,363,363,363,363;0.1515,0.1881,0.3244,0.4475,0.653,0.0952,0.1275,0.161,0.2895,0.4022,0.5997,0.4637,0.0791,0.1043,0.1357,0.2529,0.3533,0.5334,0.0653,0.0855,0.1133,0.2191,0.3057;table;;;;;;;;"Wahlström, Åsa; Vamling, Lennart (2000): Solubility of HFCs in Pentaerythritol Tetraalkyl Esters. In: J. Chem. Eng. Data 45 (1), S. 97–103. DOI: 10.1021/je990171n."
R-134a;pentaerythritol tetrapentanoate ester;;abs;;isotherms_p;51500,90200,132100,176500,272700,325800,458300,73100,129600,181500,255600,399700,485400,683500,93900,167900,225400,332600,523900,645100,895300,112900,203100,261500,404600,635000,791400,1065000;303,303,303,303,303,303,303,323,323,323,323,323,323,323,343,343,343,343,343,343,343,363,363,363,363,363,363,363;0.0907,0.1551,0.2219,0.2737,0.3962,0.4593,0.5942,0.0781,0.1348,0.1877,0.2418,0.3562,0.419,0.5414,0.0662,0.1151,0.1554,0.2095,0.313,0.3734,0.476,0.0558,0.0973,0.1275,0.1779,0.2708,0.3264,0.4079;table;;;;;;;;"Wahlström, Åsa; Vamling, Lennart (1999): Solubility of HFC32, HFC125, HFC134a, HFC143a, and HFC152a in a Pentaerythritol Tetrapentanoate Ester. In: J. Chem. Eng. Data 44 (4), S. 823–828. DOI: 10.1021/je980235e."
